X,Y,COUNTY,CountyName,Permits 
-8695599.572,4045034.071,Brunswick,,
-8741084.716,4043689.48,Brunswick,,
-8685856.445,4043966.991,Brunswick,,
-8685856.445,4043966.991,Brunswick,,
-8738268.333,4024331.526,Brunswick,,
-8730766.178,4044916.682,Brunswick,,
-8730106.944,4045458.457,Brunswick,,
-8693969.298,4043946.419,Brunswick,,
-9194399.946,4225996.361,Buncombe,,
-9170288.145,4233665.75,Buncombe,,
-9176588.828,4228811.95,Buncombe,,
-9187520.402,4222457.396,Buncombe,,
-8955029.645,4211806.376,Cabarrus,,
-8961063.162,4232681.144,Cabarrus,,
-9056797.924,4275881.832,Caldwell,,
-8553944.295,4135153.519,Carteret,,
-8830296.156,4360338.572,Caswell,,
-9060293.356,4243434.546,Catawba,,
-9069566.269,4243434.546,Catawba,,
-9069566.269,4243434.546,Catawba,,
-9069566.269,4243434.546,Catawba,,
-9069566.269,4243434.546,Catawba,,
-8820711.548,4283009.295,Chatham,,
-8853450.61,4246446.294,Chatham,,
-8821513.048,4265507.963,Chatham,,
-8838767.569,4257130.988,Chatham,,
-8849743.671,4264451.919,Chatham,,
-8849743.671,4264451.919,Chatham,,
-8849743.671,4264451.919,Chatham,,
-8849743.671,4264451.919,Chatham,,
-8849743.671,4264451.919,Chatham,,
-8849743.671,4264451.919,Chatham,,
-8848196.33,4256486.871,Chatham,,
-8850691.445,4249652.798,Chatham,,
-8846927.288,4235689.94,Chatham,,
-8834192.338,4278325.793,Chatham,,
-9371776.423,4165960.547,Cherokee,,
-8525213.959,4336497.616,Chowan,,
-8530690.878,4317490.301,Chowan,,
-8530690.878,4317490.301,Chowan,,
-8535488.748,4330286.904,Chowan,,
-8528898.634,4332011.743,Chowan,,
-8523822.466,4345585.503,Chowan,,
-8527696.384,4339480.029,Chowan,,
-8527696.384,4339480.029,Chowan,,
-8527696.384,4339480.029,Chowan,,
-9061373.155,4203702.114,Cleveland,,
-9061373.155,4203702.114,Cleveland,,
-9061373.155,4203702.114,Cleveland,,
-9083826.296,4228852.959,Cleveland,,
-8758856.65,4036574.397,Columbus,,
-8764922.226,4088954.355,Columbus,,
-8755033.048,4088455.849,Columbus,,
-8774636.41,4049674.133,Columbus,,
-8786047.883,4064383.552,Columbus,,
-8758092.442,4032855.183,Columbus,,
-8758092.442,4032855.183,Columbus,,
-8758092.442,4032855.183,Columbus,,
-8755510.943,4049089.515,Columbus,,
-8772699.563,4045250.162,Columbus,,
-8751348.373,4076947.607,Columbus,,
-8749277.83,4080508.108,Columbus,,
-8725288.48,4061518.246,Columbus,,
-8771508.333,4054383.379,Columbus,,
-8770429.424,4053507.581,Columbus,,
-8770429.424,4053507.581,Columbus,,
-8779278.433,4085567.567,Columbus,,
-8784387.775,4090058.894,Columbus,,
-8782306.323,4090291.777,Columbus,,
-8781926.39,4085798.467,Columbus,,
-8781536.549,4090774.163,Columbus,,
-8780957.465,4080628.429,Columbus,,
-8777037.349,4084901.613,Columbus,,
-8796492.1,4065398.402,Columbus,,
-8792798.297,4065594,Columbus,,
-8754506.952,4087502.499,Columbus,,
-8776960.873,4062622.801,Columbus,,
-8770255.321,4078455.288,Columbus,,
-8778855.419,4081884.056,Columbus,,
-8776355.295,4090484.702,Columbus,,
-8769336.823,4076704.078,Columbus,,
-8766706.9,4045915.941,Columbus,,
-8781785.571,4074804.026,Columbus,,
-8779275.65,4061905.946,Columbus,,
-8768391.387,4086768.679,Columbus,,
-8762217.608,4087737.488,Columbus,,
-8715637.08,4080022.519,Columbus,,
-8764675.542,4077997.029,Columbus,,
-8731814.697,4073519.528,Columbus,,
-8725344.14,4063915.492,Columbus,,
-8791646.029,4074057.819,Columbus,,
-8790432.646,4068226.423,Columbus,,
-8767249.694,4090051.334,Columbus,,
-8766320.844,4043729.815,Columbus,,
-8763560.121,4029849.424,Columbus,,
-8741769.331,4051377.847,Columbus,,
-8787031.502,4083778.148,Columbus,,
-8776796.009,4077689.286,Columbus,,
-8760423.026,4084878.808,Columbus,,
-8760423.026,4084878.808,Columbus,,
-8601681.21,4206225.53,Craven,,
-8591636.296,4172867.502,Craven,,
-8610642.095,4207166.844,Craven,,
-8609845.715,4188955.069,Craven,,
-8605268.481,4214290.693,Craven,,
-8589601.153,4198507.056,Craven,,
-8595090.094,4188383.029,Craven,,
-8571983.953,4192987.427,Craven,,
-8611769.205,4207494.277,Craven,,
